ID,label,type,year
http://www.wikidata.org/entity/Q287451,Martin Ritt,DIRECTOR,1914
http://www.wikidata.org/entity/Q2420942,H. Bruce Humberstone,DIRECTOR,1901
http://www.wikidata.org/entity/Q361670,John Sturges,DIRECTOR,1910
http://www.wikidata.org/entity/Q216748,Richard Thorpe,DIRECTOR,1896
http://www.wikidata.org/entity/Q17887,Jack Clayton,DIRECTOR,1921
http://www.wikidata.org/entity/Q453683,Julien Duvivier,DIRECTOR,1896
http://www.wikidata.org/entity/Q78719,Josef von Sternberg,DIRECTOR,1894
http://www.wikidata.org/entity/Q62503,Victor Fleming,DIRECTOR,1889
http://www.wikidata.org/entity/Q457269,Sam Wood,DIRECTOR,1883
http://www.wikidata.org/entity/Q1668173,Rudolph Maté,DIRECTOR,1898
http://www.wikidata.org/entity/Q1175437,David MacDonald,DIRECTOR,1904
http://www.wikidata.org/entity/Q212466,Roy Boulting,DIRECTOR,1913
http://www.wikidata.org/entity/Q262735,Richard Fleischer,DIRECTOR,1916
http://www.wikidata.org/entity/Q95030,Warren Beatty,DIRECTOR,1937
http://www.wikidata.org/entity/Q504627,Barbet Schroeder,DIRECTOR,1941
http://www.wikidata.org/entity/Q1859686,Louie Psihoyos,DIRECTOR,1957
http://www.wikidata.org/entity/Q3376961,Peter Werner,DIRECTOR,1947
http://www.wikidata.org/entity/Q232941,Christine Lahti,DIRECTOR,1950
http://www.wikidata.org/entity/Q1972350,Vincent Sherman,DIRECTOR,1906
http://www.wikidata.org/entity/Q538608,Héctor Babenco,DIRECTOR,1946
http://www.wikidata.org/entity/Q435029,Clarence Brown,DIRECTOR,1890
http://www.wikidata.org/entity/Q731331,George Pal,DIRECTOR,1908
http://www.wikidata.org/entity/Q939550,Henry Levin,DIRECTOR,1909
http://www.wikidata.org/entity/Q51583,Joseph L. Mankiewicz,DIRECTOR,1909
http://www.wikidata.org/entity/Q72229,Edward Dmytryk,DIRECTOR,1908
http://www.wikidata.org/entity/Q158250,Peter Bogdanovich,DIRECTOR,1939
http://www.wikidata.org/entity/Q611429,Luis Puenzo,DIRECTOR,1946
http://www.wikidata.org/entity/Q1424757,Mark Jonathan Harris,DIRECTOR,1941
http://www.wikidata.org/entity/Q56014,George Cukor,DIRECTOR,1899
http://www.wikidata.org/entity/Q1668336,Irving Pichel,DIRECTOR,1891
http://www.wikidata.org/entity/Q134867,Danny Boyle,DIRECTOR,1956
http://www.wikidata.org/entity/Q3837845,Loveleen Tandan,DIRECTOR,1940
http://www.wikidata.org/entity/Q287977,Dick Powell,DIRECTOR,1904
http://www.wikidata.org/entity/Q503258,Busby Berkeley,DIRECTOR,1895
http://www.wikidata.org/entity/Q630981,George Sidney,DIRECTOR,1916
http://www.wikidata.org/entity/Q953753,Charles Walters,DIRECTOR,1911
http://www.wikidata.org/entity/Q4465,Peter Jackson,DIRECTOR,1961
http://www.wikidata.org/entity/Q350717,Michael Apted,DIRECTOR,1941
http://www.wikidata.org/entity/Q53004,Vittorio De Sica,DIRECTOR,1901
http://www.wikidata.org/entity/Q709973,Jean-Paul Rappeneau,DIRECTOR,1932
http://www.wikidata.org/entity/Q53044,Elio Petri,DIRECTOR,1929
http://www.wikidata.org/entity/Q505141,Joshua Logan,DIRECTOR,1908
http://www.wikidata.org/entity/Q288337,George Seaton,DIRECTOR,1911
http://www.wikidata.org/entity/Q3170092,Jean-Xavier de Lestrade,DIRECTOR,1963
http://www.wikidata.org/entity/Q78639,Max Reinhardt,DIRECTOR,1873
http://www.wikidata.org/entity/Q1702242,John Zaritsky,DIRECTOR,1943
