ID,label,type,year,duration,comedy film,mystery film,thriller film,film based on literature,adventure film,horror film,science fiction film,drama film,Western film,crime film,musical film,romance film,action film,disaster film,coming-of-age story,historical film,war film,biographical film,LGBT-related film,flashback film,fantasy film,sports film,documentary film,children's film,trial film
http://www.wikidata.org/entity/Q376107,Jan de Bont,DIRECTOR,1943,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q108297,Spartacus,MOVIE,1960,198,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False
http://www.wikidata.org/entity/Q108525,The Untouchables,MOVIE,1987,119,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q189526,Brian De Palma,DIRECTOR,1940,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1089543,In Which We Serve,MOVIE,1942,114,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
http://www.wikidata.org/entity/Q298388,Noël Coward,DIRECTOR,1899,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55260,David Lean,DIRECTOR,1908,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1089809,Min and Bill,MOVIE,1930,66,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q349518,George W. Hill,DIRECTOR,1895,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1094020,City Slickers,MOVIE,1991,105,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1303837,Ron Underwood,DIRECTOR,1953,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1100552,Cleopatra,MOVIE,1934,100,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q72267,Cecil B. DeMille,DIRECTOR,1881,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1105463,Cocoon,MOVIE,1985,112,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q1109750,The Patriot,MOVIE,1928,113,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q51562,Ernst Lubitsch,DIRECTOR,1892,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1113303,The War of the Worlds,MOVIE,1953,82,False,False,False,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
