Source,Target,weight
http://www.wikidata.org/entity/Q358370,http://www.wikidata.org/entity/Q167520,1
http://www.wikidata.org/entity/Q358370,http://www.wikidata.org/entity/Q41142,1
http://www.wikidata.org/entity/Q28497,http://www.wikidata.org/entity/Q1033016,1
http://www.wikidata.org/entity/Q28497,http://www.wikidata.org/entity/Q202735,1
http://www.wikidata.org/entity/Q28497,http://www.wikidata.org/entity/Q216936,1
http://www.wikidata.org/entity/Q28497,http://www.wikidata.org/entity/Q560170,1
http://www.wikidata.org/entity/Q28497,http://www.wikidata.org/entity/Q40572,1
http://www.wikidata.org/entity/Q55424,http://www.wikidata.org/entity/Q129817,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q101797,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q1032023,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q159778,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q166389,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q193160,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q234128,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q320945,1
http://www.wikidata.org/entity/Q41148,http://www.wikidata.org/entity/Q492176,1
http://www.wikidata.org/entity/Q55207,http://www.wikidata.org/entity/Q435437,1
http://www.wikidata.org/entity/Q727791,http://www.wikidata.org/entity/Q42745,1
http://www.wikidata.org/entity/Q1750712,http://www.wikidata.org/entity/Q171736,1
http://www.wikidata.org/entity/Q1750712,http://www.wikidata.org/entity/Q172035,1
http://www.wikidata.org/entity/Q1750712,http://www.wikidata.org/entity/Q174843,1
http://www.wikidata.org/entity/Q1750712,http://www.wikidata.org/entity/Q354031,1
http://www.wikidata.org/entity/Q72717,http://www.wikidata.org/entity/Q83359,1
http://www.wikidata.org/entity/Q433113,http://www.wikidata.org/entity/Q182450,1
http://www.wikidata.org/entity/Q433113,http://www.wikidata.org/entity/Q41871,1
http://www.wikidata.org/entity/Q951570,http://www.wikidata.org/entity/Q106225,1
http://www.wikidata.org/entity/Q951570,http://www.wikidata.org/entity/Q106418,1
http://www.wikidata.org/entity/Q61859,http://www.wikidata.org/entity/Q151973,1
http://www.wikidata.org/entity/Q61859,http://www.wikidata.org/entity/Q153332,1
http://www.wikidata.org/entity/Q61859,http://www.wikidata.org/entity/Q3568418,1
http://www.wikidata.org/entity/Q51522,http://www.wikidata.org/entity/Q225509,1
http://www.wikidata.org/entity/Q51522,http://www.wikidata.org/entity/Q344758,1
http://www.wikidata.org/entity/Q51522,http://www.wikidata.org/entity/Q41142,1
http://www.wikidata.org/entity/Q51495,http://www.wikidata.org/entity/Q181917,2
http://www.wikidata.org/entity/Q1361382,http://www.wikidata.org/entity/Q517562,1
http://www.wikidata.org/entity/Q1361382,http://www.wikidata.org/entity/Q937550,1
http://www.wikidata.org/entity/Q1361382,http://www.wikidata.org/entity/Q41233,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q168724,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q264648,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q296008,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q363241,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q492176,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q28054,1
http://www.wikidata.org/entity/Q55294,http://www.wikidata.org/entity/Q45772,1
http://www.wikidata.org/entity/Q504463,http://www.wikidata.org/entity/Q1357886,1
http://www.wikidata.org/entity/Q504463,http://www.wikidata.org/entity/Q4081017,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q173585,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q174843,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q348445,1
http://www.wikidata.org/entity/Q137489,http://www.wikidata.org/entity/Q737183,1
http://www.wikidata.org/entity/Q13560398,http://www.wikidata.org/entity/Q38203,1
http://www.wikidata.org/entity/Q377412,http://www.wikidata.org/entity/Q983092,1
http://www.wikidata.org/entity/Q3561346,http://www.wikidata.org/entity/Q51495,1
